Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,458,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       byte r, g, b;                       r = SCALE_8_5(col.R);                       g = SCALE_8_5(col.G);                       b = SCALE_8_5(col.B);                       byte c0 = (byte)((r << 3) | (g >> 2));                       byte c1 = (byte)(((g & 0x3) << 6) | (b << 1) | ((col.A > 0) ? 1 : 0));                       int idx = y * bm.Width + x;                       int palIdx = paletteIndex(paletteData, palCount, c0, c1);                       if (palIdx < 0)                       {                          if (palCount < paletteData.Length / 2)                          {                             palIdx = palCount;                             paletteData[2 * palCount] = c0;                             paletteData[2 * palCount + 1] = c1;                             palCount++;                          }                          else                          {                             palIdx = 0;                             // TODO: out of palette entries. error or pick closest?                          }                       }                       imageData[idx] = (byte)palIdx;                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,456,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       byte r, g, b;                       r = SCALE_8_5(col.R);                       g = SCALE_8_5(col.G);                       b = SCALE_8_5(col.B);                       byte c0 = (byte)((r << 3) | (g >> 2));                       byte c1 = (byte)(((g & 0x3) << 6) | (b << 1) | ((col.A > 0) ? 1 : 0));                       int idx = y * bm.Width + x;                       int palIdx = paletteIndex(paletteData, palCount, c0, c1);                       if (palIdx < 0)                       {                          if (palCount < paletteData.Length / 2)                          {                             palIdx = palCount;                             paletteData[2 * palCount] = c0;                             paletteData[2 * palCount + 1] = c1;                             palCount++;                          }                          else                          {                             palIdx = 0;                             // TODO: out of palette entries. error or pick closest?                          }                       }                       imageData[idx] = (byte)palIdx;                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,425,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,418,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,416,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       byte r, g, b;                       r = SCALE_8_5(col.R);                       g = SCALE_8_5(col.G);                       b = SCALE_8_5(col.B);                       byte c0 = (byte)((r << 3) | (g >> 2));                       byte c1 = (byte)(((g & 0x3) << 6) | (b << 1) | ((col.A > 0) ? 1 : 0));                       int idx = y * bm.Width + x;                       int palIdx = paletteIndex(paletteData, palCount, c0, c1);                       if (palIdx < 0)                       {                          if (palCount < paletteData.Length / 2)                          {                             palIdx = palCount;                             paletteData[2 * palCount] = c0;                             paletteData[2 * palCount + 1] = c1;                             palCount++;                          }                          else                          {                             palIdx = 0;                             // TODO: out of palette entries. error or pick closest?                          }                       }                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | (byte)palIdx);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | ((byte)palIdx << 4));                       }                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,414,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       byte r, g, b;                       r = SCALE_8_5(col.R);                       g = SCALE_8_5(col.G);                       b = SCALE_8_5(col.B);                       byte c0 = (byte)((r << 3) | (g >> 2));                       byte c1 = (byte)(((g & 0x3) << 6) | (b << 1) | ((col.A > 0) ? 1 : 0));                       int idx = y * bm.Width + x;                       int palIdx = paletteIndex(paletteData, palCount, c0, c1);                       if (palIdx < 0)                       {                          if (palCount < paletteData.Length / 2)                          {                             palIdx = palCount;                             paletteData[2 * palCount] = c0;                             paletteData[2 * palCount + 1] = c1;                             palCount++;                          }                          else                          {                             palIdx = 0;                             // TODO: out of palette entries. error or pick closest?                          }                       }                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | (byte)palIdx);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | ((byte)palIdx << 4));                       }                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,399,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,396,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,394,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_4((byte)(sum / 3));                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | intensity);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | (intensity << 4));                       }                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,392,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_4((byte)(sum / 3));                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | intensity);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | (intensity << 4));                       }                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,386,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,383,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,381,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = (byte)(sum / 3);                       int idx = y * bm.Width + x;                       imageData[idx] = intensity;                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,379,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = (byte)(sum / 3);                       int idx = y * bm.Width + x;                       imageData[idx] = intensity;                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,365,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,361,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,359,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_3((byte)(sum / 3));                       byte alpha = (byte)(col.A > 0 ? 1 : 0);                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | (intensity << 1) | alpha);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | (((intensity << 1) | alpha) << 4));                       }                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,357,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_3((byte)(sum / 3));                       byte alpha = (byte)(col.A > 0 ? 1 : 0);                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 2];                       if ((idx % 2) > 0)                       {                          imageData[idx / 2] = (byte)((old & 0xF0) | (intensity << 1) | alpha);                       }                       else                       {                          imageData[idx / 2] = (byte)((old & 0x0F) | (((intensity << 1) | alpha) << 4));                       }                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,351,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,347,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,345,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_4((byte)(sum / 3));                       byte alpha = SCALE_8_4(col.A);                       int idx = y * bm.Width + x;                       imageData[idx] = (byte)((intensity << 4) | alpha);                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,343,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = SCALE_8_4((byte)(sum / 3));                       byte alpha = SCALE_8_4(col.A);                       int idx = y * bm.Width + x;                       imageData[idx] = (byte)((intensity << 4) | alpha);                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,336,21,P:System.Drawing.Image.Width,,,,,int idx = 2 * (y * bm.Width + x);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,332,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
